241.8717778, 33.58236667, AD01438, Ellen
241.8729111, 33.58340278, AD01438, Elly
241.8835056, 33.56378056, AD01438, Eureka
239.3191833, 34.46913611, AD02286, Harvest
239.3536111, 34.45550833, AD02286, Hermosa
239.2977111, 34.49501389, AD02286, Hildago
239.832475,  34.376675  , AD01349, Hondo
239.7208167, 34.35039167, AD01349, Harmony
239.8830025, 34.39073056, AD01349, Heritage
241.8593139, 33.59578611, AD01438, Edith
240.7237417, 34.11749722, AD02302, Gina
240.5814361, 34.18234167, AD02323, Gilda
240.5814361, 34.33188611, AD02088, A
240.3784639, 34.33234167, AD02088, B
240.3692333, 34.332925  , AD02088, C
240.3967528, 34.33134444, AD02088, Hillhouse
240.4396028, 34.33325556, AD02061, Henry
240.4119056, 34.28661667, AD02297, Habitat
239.2705722, 34.61041944, AD02286, Irene
240.4585139, 34.337675  , AD02061, Hogan
240.4478833, 34.33499167, AD02061, Houchin
240.5997833, 34.12510833, AD02298, Gail
237.4821722, 34.17957222, AD02323, Grace 
